106,106,106,106,0
106,106,106,106,0
106,106,106,106,0
106,106,80,106,0
106,106,80,126,0
106,106,80,126,0
2,106,126,54,0
54,126,106,13,0
5,108,45,106,0
5,108,3,6,0
106,5,4,6,0
126,106,5,55,0
89,89,106,5,0
55,89,89,106,0
5,55,89,89,0
106,5,55,89,0
89,106,5,55,0
89,89,106,5,0
55,89,89,106,0
5,55,89,89,0
106,5,90,6,0
5,106,5,90,0
6,5,106,80,0
126,2,57,107,0
106,5,55,89,0
107,106,5,55,0
89,107,106,5,0
55,89,107,106,0
5,55,89,107,0
106,5,55,89,0
107,106,5,55,0
89,107,106,5,0
55,89,107,107,0
106,5,55,107,0
107,107,106,5,0
107,6,107,106,0
5,107,6,107,0
106,5,107,6,0
107,106,5,107,0
6,107,106,5,0
107,6,107,106,0
5,107,6,107,0
106,5,107,6,0
45,20,64,108,0
3,19,6,33,0
108,3,3,3,0
6,108,3,3,0
6,45,108,3,0
6,45,45,108,0
45,19,3,19,0
108,45,3,19,0
6,108,45,3,0
19,6,108,45,0
3,19,6,108,0
45,3,3,3,0
108,45,3,3,0
6,108,45,3,0
6,106,114,126,0
54,126,54,11,0
5,90,6,125,0
122,45,45,107,0
107,125,125,125,0
125,125,125,125,0
125,125,125,125,0
125,125,125,125,0
125,125,125,125,0
125,125,125,125,0
125,136,125,125,0
125,125,136,125,0
125,125,136,45,0
125,125,125,136,0
45,125,125,136,0
45,13,125,125,0
136,45,24,125,0
125,24,49,47,0
125,125,24,49,0
47,125,136,45,0
13,45,125,136,0
45,24,47,125,0
24,49,47,50,0
125,24,49,47,0
50,125,5,5,0
3,90,125,5,0
5,3,90,125,0
5,5,3,90,0
125,5,5,3,0
90,125,5,5,0
5,3,125,5,0
5,5,3,125,0
91,125,125,125,0
125,91,125,125,0
125,126,114,126,0
54,126,126,126,0
114,126,54,126,0
126,126,114,126,0
126,126,126,126,0
126,126,126,126,0
126,126,126,126,0
126,126,54,126,0
126,126,126,67,0
126,126,126,54,0
126,126,126,126,0
54,126,126,126,0
126,54,126,126,0
126,126,67,13,0
126,126,54,126,0
126,126,126,54,0
126,67,126,126,0
54,126,67,126,0
